TransitionGroupID,StateClassID,StateAttributeTypeID,NeighborhoodRadius,UpdateFrequency
Urbanization: Open [Type],Developed: Open Space,,1500,5
Urbanization: Low [Type],Developed: Low Intensity,,1500,5
Urbanization: Medium [Type],Developed: Medium Intensity,,1500,5
Urbanization: High [Type],Developed: High Intensity,,1500,5
Intensification: Open to Low [Type],Developed: Low Intensity,,1500,5
Intensification: Open to Medium [Type],Developed: Medium Intensity,,1500,5
Intensification: Open to High [Type],Developed: High Intensity,,1500,5
Intensification: Low to Medium [Type],Developed: Medium Intensity,,1500,5
Intensification: Low to High [Type],Developed: High Intensity,,1500,5
Intensification: Medium to High [Type],Developed: High Intensity,,1500,5
Ag Expansion: Pasture [Type],Agriculture: Pasture,,1500,20
Ag Expansion: Cropland [Type],Agriculture: Cropland,,1500,20
Ag Contraction: Alder/Maple Group [Type],Forest: Alder/Maple Group,,1500,20
Ag Contraction: Aspen/Birch Group [Type],Forest: Aspen/Birch Group,,1500,20
Ag Contraction: California Mixed Conifer Group [Type],Forest: California Mixed Conifer Group,,1500,20
Ag Contraction: Douglas-fir Group [Type],Forest: Douglas-fir Group,,1500,20
Ag Contraction: Elm/Ash/Cottonwood Group [Type],Forest: Elm/Ash/Cottonwood Group,,1500,20
Ag Contraction: Exotic Hardwoods Group [Type],Forest: Exotic Hardwoods Group,,1500,20
Ag Contraction: Exotic Softwoods Group [Type],Forest: Exotic Softwoods Group,,1500,20
Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],Forest: Fir/Spruce/Mountain Hemlock Group,,1500,20
Ag Contraction: Hemlock/Sitka Spruce Group [Type],Forest: Hemlock/Sitka Spruce Group,,1500,20
Ag Contraction: Loblolly/Shortleaf Pine Group [Type],Forest: Loblolly/Shortleaf Pine Group,,1500,20
Ag Contraction: Lodgepole Pine Group [Type],Forest: Lodgepole Pine Group,,1500,20
Ag Contraction: Longleaf/Slash Pine Group [Type],Forest: Longleaf/Slash Pine Group,,1500,20
Ag Contraction: Maple/Beech/Birch Group [Type],Forest: Maple/Beech/Birch Group,,1500,20
Ag Contraction: Oak/Gum/Cypress Group [Type],Forest: Oak/Gum/Cypress Group,,1500,20
Ag Contraction: Oak/Hickory Group [Type],Forest: Oak/Hickory Group,,1500,20
Ag Contraction: Oak/Pine Group [Type],Forest: Oak/Pine Group,,1500,20
Ag Contraction: Other Western Hardwoods Group [Type],Forest: Other Western Hardwoods Group,,1500,20
Ag Contraction: Other Western Softwood Group [Type],Forest: Other Western Softwood Group,,1500,20
Ag Contraction: Pinyon/Juniper Group [Type],Forest: Pinyon/Juniper Group,,1500,20
